host, domain, type, ttl, content, content2, content3, content4
bierutow.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
bystrzycaklodzka.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
chojnow.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
cieszyn.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
debica.zhp.pl, zhp.pl, NS, 3600, dns1.mydevil.net, dns2.mydevil.net
festiwal-kielce.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
gdanska.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
gdanskaksztalcenie.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
gorzow.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
pragapolnoc.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
przeslanie.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
ps.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
radommiasto.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
skierniewice.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl, ns3.ogicom.pl
starekarpno.zhp.pl, zhp.pl, NS, 3600, ns1.hekko.net.pl, ns2.hekko.net.pl
westerplatte.zhp.pl, zhp.pl, NS, 3600, ns1.hekko.net.pl, ns2.hekko.net.pl
rajdswietokrzyski.zhp.pl, zhp.pl, NS, 3600, ns5.webd.pl, ns7.webd.pl
mokotow.zhp.pl, zhp.pl, NS, 3600, ns1.unixstorm.org, ns2.unixstorm.org
olawa.zhp.pl, zhp.pl, NS, 3600, ns12.linuxpl.com, dns12.linuxpl.com
tezm-mazowiecka.zhp.pl, zhp.pl, NS, 3600, ns1.x14.eu, ns3.x25.pl
hrubieszow.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
starosiele.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
orneta.zhp.pl, zhp.pl, NS, 3600, ns11.linuxpl.com, dns11.linuxpl.com
morenka.zhp.pl, zhp.pl, A, 3600, 87.98.239.16
morenka.zhp.pl, zhp.pl, MX, 3600, 1 aspmx.l.google.com, 5 alt1.aspmx.l.google.com, 5 alt2.aspmx.l.google.com
morenka.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:aspmx.googlemail.com ~all"
*.morenka.zhp.pl, zhp.pl, A, 3600, 87.98.239.16
*.gdanskwrzeszczoliwa.zhp.pl, zhp.pl, A, 3600, 87.98.239.16
paluki.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
skarzysko.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
www.zk.wntgk.zhp.pl, zhp.pl, CNAME, 3600, zk.wntgk.zhp.pl
jaroslaw.zhp.pl, zhp.pl, NS, 3600, dns1.home.pl, dns2.home.pl
opolemiasto.zhp.pl, zhp.pl, CNAME, 3600, opole.zhp.pl
puck.zhp.pl, zhp.pl, NS, 3600, ns1.ogicom.pl, ns2.ogicom.pl
wawer.zhp.pl, zhp.pl, NS, 3600, ns1.x14.eu, ns3.x25.pl
staszow.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
